ActivityType;StartTime;EndTime;AltitudeAvg;AltitudeMin;AltitudeMax;Ascent;Descent;Distance;Duration;HrAvg;HrMin;HrMax;Calories;SpeedAvg;SpeedMax;CadenceAvg;CadenceMax
Biking;2020-08-18 15:40:05+00:00;2020-08-18 17:57:27+00:00;96.16653815489796;72.4000015258789;129.1999969482422;819.8000183105469;819.0000228881836;59012.30000000001;8242.0;143.26828093000844;88;None;1337;25.775816549381222;None;None;None
Other;2020-08-19 14:31:12+00:00;2020-08-19 16:05:01+00:00;133.9212272415391;113.0;156.8000030517578;533.4000701904297;538.6000671386719;28428.32;5629.0;147.79127504876752;80;None;1081;18.18119594954699;None;None;None
Other;2020-08-20 14:18:58+00:00;2020-08-20 16:39:02+00:00;117.86056860774823;86.0;159.60000610351562;715.1998062133789;713.7997970581055;39738.86;8404.0;132.0620911145474;67;None;1244;17.022833888624465;None;None;None
Biking;2020-08-21 16:21:35+00:00;2020-08-21 18:04:36+00:00;114.38003230056393;84.5999984741211;140.8000030517578;637.1999969482422;636.5999984741211;43847.64;6181.0;149.76962843295638;91;None;1132;25.538182171169712;None;None;None
Biking;2020-08-25 15:21:43+00:00;2020-08-25 16:32:07+00:00;151.1763119817062;129.39999389648438;173.8000030517578;362.2001647949219;363.60015869140625;28681.64;4224.0;139.02630331753554;74;None;764;24.444579545454545;None;None;None
Other;2020-08-26 13:54:46+00:00;2020-08-26 15:06:20+00:00;135.90392933543743;120.80000305175781;151.1999969482422;397.2001953125;398.2001953125;18341.71;4294.0;135.48779353638687;81;None;702;15.377306939916162;None;None;None
Biking;2020-08-27 14:50:47+00:00;2020-08-27 16:14:36+00:00;114.37163845694882;87.5999984741211;141.0;493.40006256103516;498.0000686645508;29996.41;5029.0;120.09791459781529;66;None;640;21.472872539272224;None;None;None
Other;2020-08-28 15:00:15+00:00;2020-08-28 16:45:28+00:00;115.99791237298548;94.80000305175781;138.8000030517578;563.9999237060547;562.5999298095703;29726.54;6313.0;136.91791870947335;85;None;1029;16.951614763187077;None;None;None
Other;2020-08-29 15:51:51+00:00;2020-08-29 17:10:49+00:00;129.5276598249163;124.80000305175781;135.1999969482422;21.799942016601562;21.799942016601562;4695.18;4738.0;93.85410334346504;44;None;380;3.567464753060363;None;None;None
Biking;2020-08-31 14:35:06+00:00;2020-08-31 16:03:33+00:00;108.12285981918436;78.4000015258789;131.39999389648438;638.599983215332;645.7999877929688;37244.14;5307.0;147.7230479774224;81;None;1018;25.264538157150934;None;None;None
Biking;2020-08-31 18:19:07+00:00;2020-08-31 18:39:09+00:00;128.05978298187256;122.0;135.1999969482422;29.399978637695312;29.399978637695312;5836.26;1202.0;111.2336956521739;90;None;141;17.47964725457571;None;None;None
Other;2020-09-01 15:33:46+00:00;2020-09-01 17:15:26+00:00;127.23727704015228;100.80000305175781;154.60000610351562;653.4001693725586;656.4001693725586;30006.5;6100.0;146.73850433644247;91;None;1086;17.708754098360657;None;None;None
Biking;2020-09-02 14:42:35+00:00;2020-09-02 17:36:19+00:00;102.53058058458582;78.19999694824219;134.1999969482422;1190.8001403808594;1187.2001419067383;73559.84;10424.0;None;None;None;2858;25.404396009209513;None;None;None
Running;2020-09-03 15:58:48+00:00;2020-09-03 17:20:44+00:00;124.9834381763171;118.5999984741211;144.60000610351562;272.8001022338867;270.40010833740234;10424.19;4916.0;139.7024884386699;90;None;818;7.6336623270952;None;None;None
Biking;2020-09-07 15:55:03+00:00;2020-09-07 16:39:20+00:00;136.1939872389044;123.0;149.39999389648438;275.9999694824219;277.1999816894531;17599.58;2657.0;145.92596768132282;110;None;501;23.845874294316904;None;None;None
Running;2020-09-07 17:02:57+00:00;2020-09-07 18:02:35+00:00;133.05852174639202;125.5999984741211;151.0;184.5999755859375;184.99996948242188;6644.97;3578.0;133.684239888424;71;None;526;6.685827836780325;None;None;None
Running;2020-09-10 15:47:37+00:00;2020-09-10 17:09:20+00:00;161.58751778506632;148.60000610351562;177.60000610351562;316.2000732421875;328.2000732421875;15080.67;4903.0;160.10693230331367;88;None;1024;11.072896593922088;None;None;None
Running;2020-09-11 18:33:28+00:00;2020-09-11 19:11:54+00:00;128.66454805779864;122.0;135.8000030517578;24.399993896484375;24.79999542236328;5417.67;2306.0;137.91687041564794;94;None;426;8.457767562879445;None;None;None
